iter	Passed	Remaining
0	13	12110
1	26	11752
2	40	12129
3	55	12373
4	63	11345
5	77	11501
6	92	11810
7	106	11875
8	123	12265
9	138	12298
10	151	12282
11	168	12461
12	185	12625
13	201	12746
14	217	12807
15	225	12448
16	246	12809
17	270	13254
18	295	13688
19	313	13780
20	334	14019
21	356	14216
22	374	14284
23	380	13883
24	396	13884
25	411	13833
26	426	13782
27	445	13882
28	469	14090
29	492	14272
30	516	14482
31	542	14714
32	563	14801
33	581	14818
34	595	14708
35	611	14671
36	628	14663
37	643	14598
38	660	14589
39	683	14699
40	692	14499
41	716	14627
42	741	14776
43	755	14692
44	762	14493
45	785	14575
46	801	14550
47	812	14423
48	825	14343
49	841	14297
50	856	14251
51	872	14224
52	914	14610
53	954	14948
54	977	15018
55	998	15043
56	1016	15032
57	1031	14977
58	1047	14937
59	1064	14907
60	1074	14772
61	1090	14745
62	1115	14817
63	1141	14907
64	1164	14964
65	1191	15053
66	1213	15081
67	1231	15071
68	1248	15033
69	1261	14963
70	1270	14828
71	1284	14766
72	1297	14695
73	1309	14613
74	1332	14655
75	1345	14585
76	1369	14633
77	1383	14577
78	1409	14650
79	1417	14530
80	1428	14443
81	1446	14429
82	1461	14387
83	1475	14336
84	1492	14313
85	1509	14289
86	1535	14348
87	1554	14343
88	1597	14561
89	1629	14666
90	1667	14822
91	1700	14935
92	1722	14950
93	1731	14842
94	1784	15121
95	1823	15273
96	1851	15331
97	1886	15438
98	1892	15314
99	1912	15300
100	1927	15244
101	1951	15268
102	1977	15298
103	2003	15332
104	2030	15373
105	2053	15383
106	2074	15371
107	2093	15355
108	2113	15335
109	2131	15308
110	2149	15275
111	2160	15203
112	2190	15256
113	2205	15204
114	2221	15165
115	2234	15100
116	2246	15037
117	2255	14948
118	2264	14861
119	2284	14850
120	2302	14820
121	2310	14731
122	2324	14681
123	2335	14613
124	2349	14568
125	2361	14509
126	2377	14473
127	2394	14442
128	2407	14388
129	2432	14407
130	2455	14413
131	2473	14392
132	2486	14340
133	2502	14303
134	2521	14290
135	2533	14231
136	2549	14196
137	2554	14104
138	2565	14044
139	2580	14010
140	2596	13978
141	2619	13982
142	2645	14004
143	2674	14038
144	2703	14075
145	2716	14030
146	2738	14028
